OTU,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_12,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,BOTU_12_Nitrososphaeraceae
BOTU_19,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unidentified,BOTU_19_Nitrososphaeraceae
BOTU_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,BOTU_1_Mitochondria
BOTU_9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,BOTU_9_Chloroplast
BOTU_15,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,BOTU_15_Lactobacillus
BOTU_13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,BOTU_13_Methylobacterium-Methylorubrum
BOTU_5,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,BOTU_5_Pasteurella
BOTU_4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_4_Sphingomonas
BOTU_14,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,unidentified,BOTU_14_Micrococcaceae
BOTU_2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_2_Sphingomonas
BOTU_6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,BOTU_6_Massilia
BOTU_11,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_11_Sphingomonas
BOTU_10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_10_Comamonadaceae
BOTU_23,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,BOTU_23_Nitrososphaeraceae
BOTU_16,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,BOTU_16_Staphylococcus
BOTU_8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unidentified,BOTU_8_Sphingomonadaceae
BOTU_3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_3_Pseudomonas
BOTU_17,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,BOTU_17_Bacillus
BOTU_18,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,BOTU_18_Escherichia-Shigella
BOTU_20,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,BOTU_20_Listeria
BOTU_7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,BOTU_7_Bacillus
BOTU_21,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,BOTU_21_Bradyrhizobium
BOTU_22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,BOTU_22_Aureimonas
BOTU_31,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,BOTU_31_Candidatus_Udaeobacter
BOTU_30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,BOTU_30_Methylobacterium-Methylorubrum
BOTU_24,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,BOTU_24_Enterococcus
BOTU_32,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,unidentified,unidentified,BOTU_32_Solirubrobacterales
BOTU_33,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,BOTU_33_bacteriap25
BOTU_34,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,BOTU_34_Anaeromyxobacter
BOTU_27,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_27_Pseudomonas
BOTU_26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_26_Pseudomonas
