OTU_ID,CE1_1,SBE1_2,SE1_3,CE2_4,SBE2_5,SE2_6,CE3_7,SE3_8,SE2_9,Control1_10,C01_11,SB01_12,S01_13,C02_14,SB02_15,S02_16,C03_17,SB03_18,S03_19,C04_20,SB04_21,S04_22,C05_23,SB05_24,S05_25,C06_26,SB06_27,S06_28,Control2_29,C61_30,SB61_31,S61_32,C62_33,SB62_34,S62_35,C63_36,SB63_37,S63_38,C64_39,SB64_40,S64_41,C65_42,SB65_43,S65_44,C66_45,SB66_46,S66_47,Control3_48,C121_49,SB121_50,S121_51,C122_52,SB122_53,S122_54,C123_55,SB123_56,S123_57,C124_58,SB124_59,S124_60,C125_61,SB125_62,S125_63,C126_64,SB126_65,S126_66,Control4_67,C181_68,SB181_69,S181_70,SE1_71,C182_72,SB182_73,S182_74,SBE1_75,C183_76,SB183_77,S183_78,SBE2_79,C184_80,SB184_81,S184_82,CE3_83,C185_84,SB185_85,S185_86,CE2_87,C186_88,SB186_89,S186_90,Control5_91,PositiveControl_92,PositiveControl_93,PositiveControl_94,Water_95,Water_96
BOTU_1,6,61,2,8,38,10,9,2,11,8,3,13,3,17,16,20,15,11,9,6,18,19,26,5,6,17,6,12,57,10,4794,12,8,17,14,26,14,6,7,17,28,10,34,22,11,27,2,0,19,28,23,25,1116,8,4,31,1,11,28,8,6,39,4,5,22,21,7,43,23,25,19,22,123,22,705,7,7,4,403,8,9,22,11,9,74,6,17,0,162,7,137,8,9,8,0,0
BOTU_10,1255,692,262,266,753,704,2114,494,1673,0,231,210,266,255,221,204,171,339,434,294,272,418,300,255,216,251,222,243,0,337,427,376,638,539,364,924,549,465,587,549,396,482,507,298,394,426,333,0,1274,586,631,1364,1011,461,1180,1513,292,1320,1424,655,1096,1956,508,637,1267,393,0,670,1375,459,575,1841,1295,394,1032,975,1312,285,1290,1046,1259,352,404,1595,1839,405,446,66,982,290,0,0,0,0,0,0
BOTU_100,10,2,1,1,3,3,1,3,1,0,43,34,36,28,38,36,28,58,60,55,47,67,45,37,35,42,42,46,0,26,27,37,64,34,38,59,34,60,34,42,34,35,29,30,24,35,35,0,38,33,30,37,18,41,29,29,26,29,32,46,31,40,37,34,32,34,0,31,33,28,13,36,42,24,6,21,31,12,14,13,20,9,0,27,29,6,5,3,19,35,0,0,0,0,0,0
BOTU_1000,2,2,0,0,5,0,1,2,0,0,3,3,1,2,2,1,3,4,6,3,7,1,3,0,1,3,3,0,0,0,0,4,2,2,2,4,2,4,0,1,0,1,0,2,1,1,0,0,2,1,0,1,0,3,3,3,1,2,3,3,0,1,3,2,0,0,0,0,3,0,0,2,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
BOTU_1001,0,0,2,1,2,0,0,0,0,0,2,1,2,1,0,1,1,1,4,3,1,3,1,4,0,4,3,2,0,2,0,0,2,2,1,3,2,3,4,0,0,2,1,1,4,0,1,0,0,3,1,3,1,1,2,0,1,1,1,3,4,2,3,0,1,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOTU_1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_1003,4,2,3,1,4,2,2,1,0,0,2,4,6,7,1,2,4,7,3,8,2,7,6,7,1,0,4,1,0,3,2,4,3,1,5,4,3,6,2,5,6,10,2,1,0,0,2,0,3,0,3,3,4,3,6,5,3,3,6,5,6,0,5,1,2,4,0,5,1,6,1,3,1,6,0,5,2,1,2,1,2,1,0,2,4,2,0,0,2,3,0,0,0,0,0,0
BOTU_1004,2,2,0,0,0,0,0,0,0,0,5,2,4,2,4,3,2,0,2,4,2,7,1,2,3,5,5,3,0,1,1,5,2,3,1,2,3,6,3,2,6,4,1,4,7,1,2,0,2,2,2,3,2,2,4,2,1,2,4,1,7,5,0,4,2,2,0,10,7,2,0,2,2,1,1,2,4,3,1,3,0,1,0,0,7,0,2,0,1,4,0,0,0,0,0,0
BOTU_1005,5,5,1,3,3,6,1,1,2,0,3,5,2,3,3,3,5,5,6,4,8,11,5,6,8,4,7,9,0,2,6,3,6,4,6,10,7,6,5,7,5,9,2,2,3,4,0,0,6,2,3,1,1,4,4,3,2,4,0,7,2,7,4,4,1,5,0,5,5,2,1,3,3,3,5,2,3,3,4,2,3,1,0,4,5,1,1,0,0,3,0,0,0,0,0,0
BOTU_1006,2,3,3,2,1,1,3,1,0,0,2,5,3,3,4,6,3,3,3,4,9,5,3,4,4,5,4,4,0,2,1,8,3,2,3,12,3,4,5,2,2,5,0,1,5,1,3,0,2,1,4,2,1,5,7,2,2,4,2,3,3,3,5,3,3,3,0,3,1,0,0,1,2,2,0,4,0,1,5,2,0,2,0,5,4,1,0,0,3,1,0,0,0,0,0,0
