OTU,C-E-1,SB-R-1,S-R-1,C-R-2,SB-R-2,S-R-2,C-R-3,S-E-3,S-E-2,Control1,C-0-1,SB-0-1,S-0-1,C-0-2,SB-0-2,S-0-2,C-0-3,SB-0-3,S-0-3,C-0-4,SB-0-4,S-0-4,C-0-5,SB-0-5,S-0-5,C-0-6,SB-0-6,S-0-6,Control2,C-6-1,SB-6-1,S-6-1,C-6-2,SB-6-2,S-6-2,C-6-3,SB-6-3,S-6-3,C-6-4,SB-6-4,S-6-4,C-6-5,SB-6-5,S-6-5,C-6-6,SB-6-6,S-6-6,Control3,C-12-1,SB-12-1,S-12-1,C-12-2,SB-12-2,S-12-2,C-12-3,SB-12-3,S-12-3,C-12-4,SB-12-4,S-12-4,C-12-5,SB-12-5,S-12-5,C-12-6,SB-12-6,S-12-6,Control4,C-18-1,SB-18-1,S-18-1,S-E-1,C-18-2,SB-18-2,S-18-2,SB-E-1,C-18-3,SB-18-3,S-18-3,SB-E-2,C-18-4,SB-18-4,S-18-4,C-E-3,C-18-5,SB-18-5,S-18-5,C-E-2,C-18-6,SB-18-6,S-18-6,Control5,PositiveControl1,PositiveControl2,PositiveControl3,Water1,Water2
FOTU_1,1650,0,2790,1968,2071,2637,1914,2091,2428,2379,3383,501,2272,1963,4189,3141,1315,3324,3670,1984,2248,0,534,2402,2045,2016,1384,1879,2430,2464,2887,1342,2545,789,3123,2153,1505,1981,2178,2055,2750,4907,0,2752,2186,1815,2407,2793,1364,1114,2622,2864,2093,3031,4005,986,2418,3010,2052,2167,3255,2458,2219,0,2525,4262,1358,2911,2474,4484,3080,6828,2185,2914,4300,3050,4442,1770,4048,3732,4457,743,1959,4279,1177,1058,2899,3590,2974,1453,0,0,0,0,0,0
FOTU_10,2042,0,288,1577,833,213,204,1795,224,512,320,57,255,1164,408,1079,552,1319,430,2452,503,0,1180,1692,819,286,149,175,1034,378,632,84,691,35,2606,586,108,741,326,128,192,1210,0,234,62,255,63,80,413,286,272,824,371,991,677,67,681,1169,516,730,9284,1014,583,0,368,2005,3560,1677,122,4002,527,1088,287,173,226,997,297,37,375,1691,593,43,393,856,26,25,564,583,63,160,0,0,0,0,0,0
FOTU_100,0,0,0,2,0,0,0,0,0,0,0,3174,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,4,0,0,0,1,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1000,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,3,6,0,0,0,0,1,0,3,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,3,1,0,2,0,0,0,0,2,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
FOTU_1001,0,0,1,0,11,6,7,0,0,4,5,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,12,0,0,0,3,0,0,0,11,9,0,1,1,0,7,0,0,10,0,0,0,7,1,4,0,0,0,8,0,0,0,0,2,0,11,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
FOTU_1002,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,3,0,8,2,2,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,4,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
FOTU_1003,0,0,6,0,3,4,8,0,1,3,1,0,3,9,0,8,4,2,1,3,1,0,0,4,0,1,2,4,0,1,6,0,2,0,2,3,0,3,8,1,6,1,0,3,0,1,4,2,1,0,1,2,1,4,6,4,4,4,7,6,13,12,1,0,4,6,0,7,1,2,2,6,0,1,4,3,1,12,6,4,3,0,1,9,0,0,2,1,0,2,0,0,0,0,0,0
FOTU_1004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,0,0,0,10,0,0,1,0,0,0,14,0,0,0,0,0,0,0
FOTU_1005,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
FOTU_1006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
