OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species,Label
FOTU_1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Stagonosporopsis,Stagonosporopsis_oculi-hominis,FOTU_1_Stagonosporopsis_oculi-hominis
FOTU_10,Fungi,Ascomycota,Sordariomycetes,Xylariales,Bartaliniaceae,Bartalinia,Bartalinia_pondoensis,FOTU_10_Bartalinia_pondoensis
FOTU_100,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,unidentified,unidentified,FOTU_100_Pezizaceae
FOTU_1000,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium_schulzeri,FOTU_1000_Myrmecridium_schulzeri
FOTU_1001,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,unidentified,unidentified,unidentified,FOTU_1001_Blastocladiales
FOTU_1002,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1002_Rozellomycota
FOTU_1003,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_hostae,FOTU_1003_Fusarium_hostae
FOTU_1004,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1004_unidentified
FOTU_1005,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,unidentified,unidentified,unidentified,FOTU_1005_Rhizophlyctidales
FOTU_1006,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_arnaudii,FOTU_1006_Dactylella_arnaudii
FOTU_1007,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Angulomycetaceae,Angulomyces,Angulomyces_argentinensis,FOTU_1007_Angulomyces_argentinensis
FOTU_1008,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1008_unidentified
FOTU_1009,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Minimedusa,Minimedusa_polyspora,FOTU_1009_Minimedusa_polyspora
FOTU_101,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Dacrymyces,Dacrymyces_pachysporus,FOTU_101_Dacrymyces_pachysporus
FOTU_1010,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1010_unidentified
FOTU_1011,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,unidentified,FOTU_1011_Neofusicoccum
FOTU_1012,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis_mosseae,FOTU_1012_Funneliformis_mosseae
FOTU_1013,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1013_unidentified
FOTU_1014,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1014_Fungi
FOTU_1015,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,unidentified,FOTU_1015_Xylariales
FOTU_1016,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,unidentified,FOTU_1016_Periconia
FOTU_1017,Fungi,Chytridiomycota,Chytridiomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1017_Chytridiomycetes
FOTU_1018,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,unidentified,unidentified,unidentified,FOTU_1018_Lobulomycetales
FOTU_1019,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,unidentified,unidentified,FOTU_1019_Dictyosporiaceae
FOTU_102,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_102_Ascomycota
FOTU_1020,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1020_Fungi
FOTU_1021,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1021_unidentified
FOTU_1022,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,unidentified,FOTU_1022_Cyphellophora
FOTU_1023,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Tumenectria,Tumenectria_laetidisca,FOTU_1023_Tumenectria_laetidisca
FOTU_1024,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1024_unidentified
FOTU_1025,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1025_unidentified
FOTU_1026,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora_oxyspora,FOTU_1026_Cyphellophora_oxyspora
FOTU_1027,Alveolata,Ciliophora,Oligohymenophorea,Oligohymenophorea_ord_Incertae_sedis,Vorticellidae,Vorticellides,unidentified,FOTU_1027_Vorticellides
FOTU_1028,Fungi,Ascomycota,Sordariomycetes,Pisorisporiales,unidentified,unidentified,unidentified,FOTU_1028_Pisorisporiales
FOTU_1029,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1029_unidentified
FOTU_103,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,unidentified,FOTU_103_Fusicolla
FOTU_1030,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1030_unidentified
FOTU_1031,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1031_Fungi
FOTU_1032,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,unidentified,unidentified,FOTU_1032_Stachybotryaceae
FOTU_1033,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Dichotomophthora,Dichotomophthora_lutea,FOTU_1033_Dichotomophthora_lutea
FOTU_1034,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Pseudophialophora,unidentified,FOTU_1034_Pseudophialophora
FOTU_1035,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1035_Fungi
FOTU_1036,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_poae,FOTU_1036_Fusarium_poae
FOTU_1037,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_chimonanthi,FOTU_1037_Periconia_chimonanthi
